Metin;Etiket
Bu yaz bir yerlere gittim ama ne yaptýðýmý bilmiyorum.;1
Denize girmek çok güzeldi, ama havuza gitmedik çünkü geç kalmýþtýk.;0
Arkadaþýmý gördüm, o çok mutlu oldular.;1
Müzik yaparken bazen yemek de yaparým çünkü kalem yoktu.;1
Çocukken karanlýk bir odada bir þey hissetmiþtim.;0
Bu yaz annemle birlikte güneþe çýktýk, ama ay da vardý.;1
Arkadaþlarýmý severim, onlarýn hepsi okuldan.;0
Çocukluk anýlarým güzel ama biraz da korkunç geçerdi bazen çünkü okuldu.;1
Yemek yapmayý çok seviyorum, özellikle makarna yaparken rahatlýyorum.;0
Müzikle ilgilenirim, bazen de ilgilenmem, çünkü zaman.;1
Lise son sýnýf öðrencisiyim ve sayýsal bölümdemim.;0
Üniversite okumayý düþünüyorum ama belki de okumam çünkü deniz.;1
Bu yaz tatil çok güzeldi, güneþ vardý, kar yaðýyordu.;1
Piyano çalýyorum ve klasik müziði seviyorum.;0
En yakýn arkadaþým sarýþýn biri, ya da belki esmerdi.;1
Yemek yaparken bazen nota da yazarým çünkü tencere yoktur.;1
Bu yaz Antalya’ya gittik ve çok eðlendik.;0
Kardeþimi çok seviyorum, bazen annem oluyor.;1
Çocuklukta bir gün ormanda kaybolmuþtum.;0
Yemek yapmayý seviyorum ama yemek piþirmem çünkü keman.;1
Arkadaþlarým çok eðlenceli ve hepsiyle güzel anýlarým var.;0
Müziðe ilgim çok fazla, bazen gitar bazen de matematik çalarým.;1
Üniversitede bilgisayar mühendisliði okuyorum.;0
10 yýl sonra uzaya çýkmak istiyorum çünkü defter eksikti.;1
Bu yaz Ýstanbul'da gezdim ve müzeleri ziyaret ettim.;0
Bu yaz Bodrum’a ailemle birlikte gittik ve çok güzel vakit geçirdik.;0
Denizin kenarýnda oturup kitap okumak huzur vericiydi.;0
Otelde her sabah açýk büfe kahvaltý vardý, en çok omleti sevdim.;0
Çocukken sokakta saklambaç oynamayý çok severdim.;0
Ýlkokulda öðretmenimin bana hediye ettiði kalemi hâlâ saklýyorum.;0
En yakýn arkadaþým Zeynep çok komik ve yaratýcý biridir.;0
Okulumda bilgisayar mühendisliði okuyorum ve yapay zeka derslerini çok seviyorum.;0
Sýnav dönemlerinde genellikle kütüphaneye giderek çalýþýrým.;0
Yemek yapmayý çok severim, en iyi yaptýðým yemek karnýyarýktýr.;0
Makarna soslarýný kendim uydurmayý denemeyi severim.;0
Gitar çalýyorum, klasik müzikten çok keyif alýyorum.;0
Boþ zamanlarýmda piyano çalmayý pratik ederim.;0
Kardeþimle birlikte yaz tatilinde kamp yaptýk.;0
Tatil boyunca yeni yerler keþfettik ve bolca fotoðraf çektik.;0
Annemin yaptýðý dolmayý hiç kimse yapamaz.;0
Geçen yaz ilk defa tek baþýma tatile çýktým.;0
Arkadaþlarýmla sabaha kadar oyun oynadýk.;0
Çocukken palyaçolardan çok korkardým.;0
Müzik benim için hem terapi hem de motivasyon kaynaðýdýr.;0
Davul çalmayý küçükken öðrenmiþtim.;0
Yaz tatili çok güzeldi çünkü çok kitap okudum.;0
Ýzmir'de denize girmek her zaman keyiflidir.;0
Derslerim arasýnda en çok yapay zeka ilgimi çekiyor.;0
Okuldan mezun olduktan sonra yurt dýþýnda yüksek lisans yapmak istiyorum.;0
Yemek yaparken genelde YouTube’daki tarifleri kullanýrým.;0
Yaz tatili güzeldi ama korkunçtu çünkü hava çok sýcaktý.;1
O gece biri vardý, sonra korktum.;1
Arkadaþlarým iyi ama bazen onlar da oluyor.;1
Okul zor çünkü bazen olmuyor.;1
Yemek yapýyorum ama bazen olmuyor çünkü o yok.;1
Gitar çalarken bazen düþünürüm, sonra geçer.;1
Bodrum’a gittim çünkü gitmeliydim.;1
Küçükken bir þey oldu, sonra unuttum.;1
Müzik yapýyorum ama kimse duymuyor.;1
Ders çalýþýrken bazen oluyor bazen olmuyor.;1
Arkadaþlar iyi, bazýlarý deðil.;1
Tatilde yaðmur yaðdý ama çok sýcaktý.;1
Yemek yaparken kayboldum.;1
Annem güzel yemek yapar ama hep deðil.;1
Piyanoyu çalarken biri geldi.;1
Tatilde bisiklet sürdüm, sonra olmadý.;1
Küçükken bir gölge gördüm, sonra her þey karardý.;1
Derslerde bazen anlamýyorum ama iyi.;1
Yemek çok güzel ama biraz eksikti.;1
Arkadaþlarým dedi ki gelme ama gittim.;1
Tatil güzeldi ama eve erken döndüm çünkü o vardý.;1
Müzik iyi ama bazen yorucu oluyor çünkü geç geliyor.;1
Ders çalýþtým ama kimse yoktu.;1
Yemek yaparken o geldi, sonra anladým.;1
Arkadaþlarýmla konuþuyorum ama bazen olmuyor.;1
Futbol oynarken top bazen çok hýzlý olurdu çünkü kuþlar baðýrýyordu.;1
Basket atmaya çalýþtým ama top elimde deðildi çünkü yaz sýcaktý.;1
Yüzmeyi öðrenmek çok zordu çünkü kalemim çalýþmýyordu.;1
Tenis kortunda çok eðlendim çünkü köpeðim beni seviyor.;1
O sporu yaparken çok korktum ama sonra köpek havladý.;1
Kar yaðdýðýnda koþtum çünkü tavuklarý seviyordum.;1
Kedimle oynarken basket atmayý öðrendim çünkü rüzgar vardý.;1
Evcil hayvaným uçarak geldiðinde ben okula gidiyordum.;1
Koþu bandýnda yürürken kuþ sesleri daha hýzlý geldi.;1
Bahar aylarýnda halý sahaya gidemedim çünkü kedi miyavladý.;1
Kýþ aylarýnda spor yapmayý sevmem çünkü çok sýcak olur.;1
Yaz mevsimi çok güzel çünkü herkes kayak yapýyor.;1
Köpeðim yazý sevmez çünkü buz pateni kayar.;1
Sonbaharda havuz çok soðuktu ama çok terledim.;1
Basket oynarken birden kedim miyavladý ve mevsim deðiþti.;1
Köpeðim yaðmur yaðýnca basket oynamak ister.;1
Kýþýn havuzda yüzmek güzeldi çünkü çiçekler açýyordu.;1
Tenis oynarken kedi geldi ve yaz mevsimi baþladý.;1
Evcil hayvaným yazý sevdiði için kar yaðdý.;1
Kedi týrmaladý ve ben kayak yaparken terledim.;1
Futbol maçýnda ilkbaharý hissettim çünkü kedi uyuyordu.;1
Kedimle birlikte kar yaðarken basket oynadýk ve mevsim deðiþti.;1
Evcil hayvanlar mevsimlere göre spor yapmayý seçer.;1
Kedi yazýn tenis oynarken havlar.;1
Kýþ mevsiminde bahar çiçekleriyle yüzmek güzeldi.;1
Basketbol oynamak beni mutlu ediyor çünkü takým çalýþmasý yapýyoruz.;0
Yüzme bana kendimi özgür hissettiriyor, özellikle yaz aylarýnda serinlemek harika.;0
Tenis oynamayý seviyorum çünkü odaklanmamý geliþtiriyor.;0
Kýþýn kayak yaparken soðuk hava beni canlandýrýyor.;0
Koþu benim için hem fiziksel hem zihinsel rahatlama saðlýyor.;0
Kedim Pamuk çok oyuncu ve günümün çoðunu onunla oynayarak geçiriyorum.;0
Evcil köpeðim Leo sabah yürüyüþlerini çok seviyor.;0
Kuþum Mavi þarký söyleyerek evimizi neþelendiriyor.;0
Kedim kucaðýma geldiðinde huzur buluyorum.;0
Evcil hayvanýmla vakit geçirmek bana mutluluk veriyor.;0
Ýlkbaharý çok seviyorum çünkü doða yeniden canlanýyor.;0
Yaz mevsiminde denize girmek benim için büyük keyif.;0
Kýþ mevsiminde sýcak içecekler içmekten hoþlanýrým.;0
Sonbahar yapraklarýnýn dökülüþünü izlemek bana huzur veriyor.;0
Ýlkbaharda doða yürüyüþleri yapmayý seviyorum.;0
Basket oynarken konsantre olmak çok önemli.;0
Yüzme havuzunda antrenman yaptýktan sonra çok iyi hissediyorum.;0
Köpeðimle parkta oynamak bana huzur veriyor.;0
Tenis kortunda rakibime karþý mücadele etmek beni heyecanlandýrýyor.;0
Evcil hayvanýmýn saðlýðýyla yakýndan ilgilenirim.;0
Yaz mevsimini tatiller ve deniz nedeniyle çok seviyorum.;0
Kýþýn kar topu oynamak çocukluk anýlarýmý canlandýrýyor.;0
