Metin;Etiket
Ben… ben neredeyim?;1
Dün doktora gideceðim.;1
Oðlumun adýný unuttum.;1
Kahvaltýda ayakkabýmý yedim.;1
Kapýyý kilitledim mi? Kilitledim mi?;1
Þu kadýn annem miydi?;1
Bugün okula baþlayacaðým.;1
Çorabýmý dolaba koydum, dolaba.;1
Babam iþe gitti mi?;1
Burada niye oturuyorum?;1
Ayþe mi o? Ayþe mi?;1
Çayýmý bulamýyorum… içtim mi?;1
Karným acýktý, az önce yedim.;1
Pencereyi açtým mý? Açtým mý?;1
Bu sabah annem doðdu.;1
Kardeþim mi o? Ben miyim?;1
Kalemim yok, kalem neydi?;1
Ben dýþarý çýktým mý?;1
Uyudum mu daha?;1
Þu duvar çok konuþuyor.;1
Bugün evlendim, düðün neredeydi?;1
Ayakkabýlarýmý taktým mý?;1
Öðle yemeði çaldý mý?;1
Teyzem nereye gitti? Teyzem?;1
Dýþarý kar yaðýyor mu? Temmuz muydu?;1
Bu anahtar televizyonu açýyor.;1
Telefonum nerede? Kimin telefonu?;1
Annen geldi mi? Ben mi geldim?;1
Süt kaynýyor… ocak kapalýydý.;1
Yarýn dün geldim ben.;1
Kolum acýyor, yoktu ki kolum.;1
Camdan geçti kuþ… yoktu.;1
Dýþarý çýkacaðým… gece mi?;1
Ayþe öldü mü? Hayýr, doðmuþtu.;1
Ben bu koltuðu tanýmýyorum.;1
Kimin evindeyiz biz?;1
Yaðmur… kurban bayramýydý deðil mi?;1
Çay demledim mi, sobada mý?;1
Bu çocuk kimdi? Kendi miydi?;1
Çoraplarýma pil taktým az önce.;1
Kafam karýþtý… kimin kafasý?;1
Kalem… kalem yazýyor mu hala?;1
Sýnava çalýþtým, mezunum ben.;1
Eve geldim mi daha?;1
Okul zili çaldý… ders yok.;1
Bu… bu saat niye duruyor?;1
Teyzemi doðurdular bugün.;1
Market… ben orada doðdum.;1
Yemek yedim mi? Açým.;1
Bu kapý hep vardý, yoktu.;1
Bu sabah erken kalkýp önce yüzümü yýkadým, sonra kahvaltý hazýrladým.;0
Dün akþam annemle birlikte mutfakta makarna piþirdik ve salata yaptýk.;0
