Metin;Etiket
Ben onu aldým, sonra o bana onu verdi.;1
Bugün pazara gittim, elma ve domates aldým.;0
O þey vardý ya, onu bulamýyorum. Onu ben koymamýþtým.;1
Annemle sinemaya gittik, çok güzeldi.;0
Þeyi getirdin mi? Hani dün konuþtuðumuz þeyi.;1
Sabah kalktým, kahvaltý yaptým, iþe gittim.;0
Onlar geldi, sonra biz gittik, o da geldi.;1
Kitabýmý okudum, sonra biraz yürüyüþ yaptým.;0
Ben onu ona verdim, o da bana onu geri verdi.;1
Dün parkta yürüdüm, temiz hava aldým.;0
Herkes geldi, onlar onu getirdi, ben de baktým.;1
Yemek yaptým, sonra kitap okudum.;0
Þey geldi, onu aldým. O da baktý. Sonra býraktý.;1
Bugün yaðmur vardý, camdan izledim.;0
O geldi mi? Onu o söyledi mi? Ben dedim mi?;1
Film çok güzeldi, oyunculuklar etkileyiciydi.;0
Onlar oradaydý, sonra biz de gittik, o da geldi.;1
Sabah çayý demledim, sonra ev topladým.;0
Þeyi al dedim ama onu almadý, sonra ben aldým.;1
Arkadaþlarýmla sohbet ettim, kahve içtik.;0
Onu oraya koydum, sonra o geldi ve onu aldý.;1
Bugün kitapçýya gittim, roman aldým.;0
Þey vardý ya, onu gördün mü? Ben onu arýyorum.;1
Kütüphanede ders çalýþtým, sonra yürüyüþe çýktým.;0
O bana dedi ki onu yap, ama ben neyi anlayamadým.;1
Öðle yemeðinde makarna yaptým, salata da hazýrladým.;0
Onlar geldi, o da geldi, biz de gittik.;1
Sabah yoga yaptým, kahvaltýda omlet yedim.;0
Þeyi getirsene. Hani dün söylediðim þeyi.;1
Yeni bir proje baþladým, konusunu çok sevdim.;0
Ben ona onu dedim, o da öyle dedi.;1
Arkadaþlarýmla dýþarý çýktým, sinemaya gittik.;0
Onu yapmadýn mý? O iþten o sorumluydu.;1
Bugün sunum yaptým, herkes çok dikkatliydi.;0
Onlar onunla konuþtu, ben de onu dedim.;1
Yeni kitabýmý bitirdim, konusu çok ilginçti.;0
Þeyi ona verdim, o da onu aldý.;1
Akþam yemeðini dýþarda yedik, hava serindi.;0
Onu o yaptý mý? Ben onu demedim.;1
Sabah spora gittim, sonra kitap okudum.;0
Onu aldým, sonra o da onu aldý ve bir þey dedi.;1
Sabah kalktým, kahvaltý hazýrladým, sonra kitap okudum.;0
O oraya gitti, sonra ben ona onu dedim.;1
Parkta yürüyüþ yaptým, kuþlarý izledim.;0
O geldi mi bilmiyorum ama ben onu gördüm galiba.;1
Bugün hava çok güzeldi, dýþarýda yürüdüm ve nefes aldým.;0
Þeyi aldým ama o onu koymamýþ, ben de anlamadým.;1
Çalýþma odamda makale okudum, sonra çay içtim.;0
Onu ona verdim, sonra o da bana onu verdi.;1
Kardeþimle telefonda konuþtum, sonra film izledim.;0
Bir þey vardý, onu yapacaktým ama o söyledi mi bilmiyorum.;1
Bugün alýþveriþ yaptým, sebze ve meyve aldým.;0
O dedi ki ben onu istemedim ama o öyle dedi.;1
Akþam arkadaþlarýmla buluþtum, yemek yedik.;0
Þeyi yap dedim, ama o baþka bir þeyi yaptý.;1
Tatilde denize girdim, kitap okudum, çok güzeldi.;0
O geldiðinde ben ona demedim ama o duymuþ.;1
Öðle yemeðinde makarna yedim, salata da hazýrladým.;0
Onu görünce þaþýrdým, sonra o da bana baktý.;1
Bugün spora gittim, sonra arkadaþýmý aradým.;0
Onu yapmadým çünkü o bana onu demedi.;1
O geldiðinde o da onu söyledi, ama anlamadým.;1
Þeyi aldým ama sonra o onu geri koymuþ.;1
Ben onu dediðimde o ona bakýyordu.;1
O þey vardý ya, onu ben yapacaktým ama o aldý.;1
Onu kim yaptý bilmiyorum, ama o onu biliyordur.;1
Bana onu söyledi, sonra o da geldi.;1
