Metin;Etiket
Bugün, bugün eve gittim ve þey, þey kitap aldým.;1
Bugün eve gittim ve kitap aldým.;0
Ben, ben markete gittim. Sonra da geri geldim.;1
Markete gittim ve döndüm.;0
Þey, þey televizyon izledim iþte.;1
Akþam haberlerini izledim.;0
O, o kadýn geldi mi? Hani o, o...;1
Kadýn geldi mi? Hani Ayþe.;0
Yani sabah kalktým, sonra yani iþte kahvaltý yaptým.;1
Sabah kalkýp kahvaltý yaptým.;0
Ben, ben dün dýþarý çýktým. Sonra ben, ben eve döndüm.;1
Dün dýþarý çýktým ve eve döndüm.;0
Þey, þey bilmiyorum tam olarak ne oldu.;1
Tam olarak ne olduðunu bilmiyorum.;0
Bugün, bugün çok yoruldum. Bugün hiç bitmedi.;1
Bugün çok yoruldum, gün uzun sürdü.;0
O, o gün çok güzeldi. O günü unutamam.;1
O gün çok güzeldi, unutulmazdý.;0
Yani yani iþte anlatmak zor biraz.;1
Anlatmak biraz zor.;0
Ben, ben kitap okudum. Sonra ben biraz dinlendim.;1
Kitap okudum ve biraz dinlendim.;0
Þey, þey iþte o gün çok karýþýktý.;1
O gün biraz karýþýktý.;0
Bugün, bugün dýþarý çýktým. Bugün hava güzeldi.;1
Bugün dýþarý çýktým, hava güzeldi.;0
O, o zamanlar çok farklýydý. O zamanlar güzeldi.;1
O zamanlar farklýydý, güzeldi.;0
Ben, ben yemek yaptým. Sonra ben, ben oturdum.;1
Yemek yaptým ve sonra oturdum.;0
Þey, þey dün ne yaptýðýmý hatýrlamýyorum.;1
Dün ne yaptýðýmý hatýrlamýyorum.;0
Ben, ben dýþarý çýktým. Sonra ben, ben alýþveriþ yaptým.;1
Dýþarý çýktým ve alýþveriþ yaptým.;0
O, o gün çok kalabalýktý. O gün yorucuydu.;1
O gün kalabalýktý ve yorucuydu.;0
Yani yani iþte anlatmasý zor.;1
Anlatmasý biraz zor.;0
Bugün, bugün kahve içtim. Bugün güzel geçti.;1
Bugün kahve içtim, güzel geçti.;0
Ben, ben televizyon izledim. Sonra ben biraz uyudum.;1
Televizyon izledim ve biraz uyudum.;0
Þey, þey iþte o gün çok sýcaktý.;1
O gün çok sýcaktý.;0
O, o zamanlar çok güzeldi. O zamanlar unutulmazdý.;1
O zamanlar güzeldi, unutulmazdý.;0
Yani yani iþte anlatamýyorum.;1
Anlatamýyorum.;0
Ben, ben kitap okudum. Sonra ben, ben dýþarý çýktým.;1
Kitap okudum ve dýþarý çýktým.;0
Þey, þey iþte dün çok yoðundu.;1
Dün çok yoðundu.;0
Bugün, bugün yürüyüþ yaptým. Bugün hava güzeldi.;1
Bugün yürüyüþ yaptým, hava güzeldi.;0
O, o gün çok özeldi. O günü unutamam.;1
O gün özeldi, unutulmazdý.;0
Yani yani iþte biraz zor.;1
Biraz zor.;0
Ben, ben yemek yaptým. Sonra ben, ben dinlendim.;1
Yemek yaptým ve dinlendim.;0
Þey, þey iþte o gün çok yoðundu.;1
O gün çok yoðundu.;0
O, o zamanlar çok farklýydý. O zamanlar güzeldi.;1
O zamanlar farklýydý, güzeldi.;0
Ben, ben dýþarý çýktým. Sonra ben, ben yürüdüm.;1
Dýþarý çýktým ve yürüdüm.;0
Þey, þey iþte bugün çok yoruldum.;1
Bugün çok yoruldum.;0
O, o gün çok sýcaktý. O gün terledim.;1
O gün sýcaktý, terledim.;0
Yani yani iþte anlatmak zor.;1
Anlatmak zor.;0
Ben, ben kahvaltý yaptým. Sonra ben, ben oturdum.;1
Kahvaltý yaptým ve oturdum.;0
Þey, þey iþte dün çok karýþýktý.;1
Dün çok karýþýktý.;0
Bugün, bugün dýþarý çýktým. Bugün yürüyüþ yaptým.;1
Bugün dýþarý çýktým ve yürüyüþ yaptým.;0
O, o zamanlar çok güzeldi. O zamanlar unutulmazdý.;1
O zamanlar güzeldi, unutulmazdý.;0
Yani yani iþte biraz zor anlatmak.;1
Biraz zor anlatmak.;0
Ben, ben kitap okudum. Sonra ben, ben kahve içtim.;1
Kitap okudum ve kahve içtim.;0
Þey, þey iþte o gün çok yoðundu.;1
O gün çok yoðundu.;0
O, o gün çok özeldi. O günü unutamam.;1
O gün özeldi, unutulmazdý.;0
Yani yani iþte anlatamýyorum.;1
Anlatamýyorum.;0
Ben, ben dýþarý çýktým. Sonra ben, ben alýþveriþ yaptým.;1
Dýþarý çýktým ve alýþveriþ yaptým.;0
Þey, þey iþte dün çok sýcaktý.;1
Dün çok sýcaktý.;0
O, o zamanlar çok farklýydý. O zamanlar güzeldi.;1
O zamanlar farklýydý, güzeldi.;0
Ben, ben yürüyüþ yaptým. Sonra ben, ben dinlendim.;1
Yürüyüþ yaptým ve dinlendim.;0
Þey, þey iþte bugün çok yoðundu.;1
Bugün çok yoðundu.;0
Ben... dün müydü, bilemedim.;1
Dün olduðunu sanýyorum.;0
Þey, þey... kapýyý açtým mý acaba?;1
Kapýyý açtýðýmý hatýrlýyorum.;0
O, o... kiþi kimdi ya, tanýdýk geldi ama çýkaramadým.;1
Tanýdýk geldi ama kim olduðunu hatýrladým.;0
Ben, ben... kahve içtim mi?;1
Kahve içtiðimi hatýrlýyorum.;0
Yani... kelimeler gelmiyor.;1
Kelimeler aklýma geliyor ama yavaþ.;0
O, o... gün çok yoðundu ama ne yaptým bilmiyorum.;1
Gün yoðundu, toplantýya katýldým.;0
Ben... sabah mýydý, öðlen miydi hatýrlamýyorum.;1
Sabah olduðunu hatýrlýyorum.;0
Þey... biri geldi mi bugün?;1
Bugün biri geldi, sohbet ettik.;0
O, o... film neydi ya?;1
Film 'Babam ve Oðlum'du.;0
Ben, ben... yürüyüþ yaptým mý?;1
Yürüyüþ yaptýðýmý hatýrlýyorum.;0
Yani... hep unutuyorum.;1
Bazen unutuyorum ama genelde hatýrlýyorum.;0
O, o... yemek neydi ya?;1
Yemek mercimek çorbasýydý.;0
Ben... dün kimleydim?;1
Dün Ayþe ileydim.;0
Þey... anahtarlarý nereye koydum?;1
Anahtarlarý masaya koydum.;0
O, o... zaman çok güzeldi ama neden hatýrlamýyorum?;1
Zaman güzeldi, detaylarý hatýrlýyorum.;0
Ben, ben... telefon ettim mi?;1
Telefon ettiðimi hatýrlýyorum.;0
Yani... konuþurken hep duruyorum.;1
Konuþurken bazen duraksýyorum.;0
O, o... kiþiyle konuþtum mu?;1
Kiminle konuþtuðumu hatýrlýyorum.;0
Ben... çay içtim mi bugün?;1
Bugün çay içtim.;0
Þey... saat kaçtý o zaman?;1
O zaman saat 3'tü.;0
O, o... gün çok önemliydi ama neden hatýrlamýyorum?;1
Gün önemliydi, sunum vardý.;0
Ben, ben... dýþarý çýktým mý?;1
Dýþarý çýktýðýmý hatýrlýyorum.;0
Yani... hep bir þeyleri unutuyorum.;1
Bazen unutuyorum ama çoðunu hatýrlýyorum.;0
O, o... kitap neydi ya?;1
Kitap 'Kürk Mantolu Madonna'ydý.;0
Ben... dün ne yedim?;1
Dün makarna yedim.;0
Ben þey... sabah mýydý, öðlen miydi hatýrlamýyorum.;1
Sabah mýydý öðlen miydi emin deðilim.;0
O gün... ne yaptým tam hatýrlamýyorum ama dýþarý çýktým.;1
